"awayTeam","homeTeam","selectedSide","status","marketProbability","calibratedProbability","diagnosticCalibratedEdgePct","matchConfidence","riskLevel","priceSourceUsed","mainReason","Warnings","Reasons"
"New York Yankees","Toronto Blue Jays","New York Yankees","daily_pick","0,07936507936507936","0,67","59,06349206349206","high","medium","sportsbook","Sportsbook odds fallback connected with a positive edge.","Lineup source not connected - confirmed batting orders unavailable. | Injury/news source not connected - late scratches unavailable. | Bullpen availability not connected - reliever fatigue not modeled yet. | Sportsbook odds fallback connected.","Sportsbook odds fallback (the_odds_api) | New York Yankees lean: StatsAPI data favors New York Yankees. Inputs: probable pitchers posted, season records connected, recent form connected, weather connected, venue Rogers Centre. Official bet blocked until real odds are matched. | New York Yankees: Will Warren (Right, ERA 3.41, 75 SO) | Toronto Blue Jays: Patrick Corbin (Left, ERA 4.55, 40 SO) | Medium weather impact: 60F, 7 mph wind, 87% precip. | Market mentions other MLB team aliases (Seattle Mariners, Washington Nationals), not this game."
"Atlanta Braves","New York Mets","Atlanta Braves","daily_pick","0,06756756756756756","0,65","58,24324324324325","high","medium","sportsbook","Sportsbook odds fallback connected with a positive edge.","Lineup source not connected - confirmed batting orders unavailable. | Injury/news source not connected - late scratches unavailable. | Bullpen availability not connected - reliever fatigue not modeled yet. | Starting pitcher unknown for one or both teams. | Sportsbook odds fallback connected.","Sportsbook odds fallback (the_odds_api) | Atlanta Braves lean: StatsAPI data favors Atlanta Braves. Inputs: pitcher data incomplete, season records connected, recent form connected, weather connected, venue Citi Field. Official bet blocked until real odds are matched. | Atlanta Braves: Martín Pérez (Left, ERA 3.02, 47 SO) | New York Mets: Probable pitcher not posted by MLB StatsAPI. | Low weather impact: 90F, 10 mph wind, 0% precip. | Market mentions other MLB team aliases (Seattle Mariners, Washington Nationals), not this game."
"New York Yankees","Toronto Blue Jays","New York Yankees","daily_pick","0,07936507936507936","0,64","56,06349206349206","high","medium","sportsbook","Sportsbook odds fallback connected with a positive edge.","Lineup source not connected - confirmed batting orders unavailable. | Injury/news source not connected - late scratches unavailable. | Bullpen availability not connected - reliever fatigue not modeled yet. | Sportsbook odds fallback connected.","Sportsbook odds fallback (the_odds_api) | New York Yankees lean: StatsAPI data favors New York Yankees. Inputs: probable pitchers posted, season records connected, recent form connected, weather connected, venue Rogers Centre. Official bet blocked until real odds are matched. | New York Yankees: Cam Schlittler (Right, ERA 1.87, 89 SO) | Toronto Blue Jays: Kevin Gausman (Right, ERA 3.60, 79 SO) | Low weather impact: 77F, 12 mph wind, 2% precip. | Market mentions other MLB team aliases (Seattle Mariners, Washington Nationals), not this game."
"Atlanta Braves","New York Mets","Atlanta Braves","daily_pick","0,06756756756756756","0,62","55,24324324324324","high","medium","sportsbook","Sportsbook odds fallback connected with a positive edge.","Lineup source not connected - confirmed batting orders unavailable. | Injury/news source not connected - late scratches unavailable. | Bullpen availability not connected - reliever fatigue not modeled yet. | Sportsbook odds fallback connected.","Sportsbook odds fallback (the_odds_api) | Atlanta Braves lean: StatsAPI data favors Atlanta Braves. Inputs: probable pitchers posted, season records connected, recent form connected, weather connected, venue Citi Field. Official bet blocked until real odds are matched. | Atlanta Braves: Bryce Elder (Right, ERA 2.66, 71 SO) | New York Mets: Freddy Peralta (Right, ERA 4.04, 79 SO) | Medium weather impact: 89F, 17 mph wind, 2% precip. | Market mentions other MLB team aliases (Seattle Mariners, Washington Nationals), not this game."
"Houston Astros","Kansas City Royals","Kansas City Royals","daily_pick","0,10309278350515465","0,65","54,690721649484544","high","medium","sportsbook","Sportsbook odds fallback connected with a positive edge.","Lineup source not connected - confirmed batting orders unavailable. | Injury/news source not connected - late scratches unavailable. | Bullpen availability not connected - reliever fatigue not modeled yet. | Sportsbook odds fallback connected.","Sportsbook odds fallback (the_odds_api) | Kansas City Royals lean: StatsAPI data favors Kansas City Royals. Inputs: probable pitchers posted, season records connected, recent form connected, weather connected, venue Kauffman Stadium. Official bet blocked until real odds are matched. | Houston Astros: Mike Burrows (Right, ERA 5.77, 60 SO) | Kansas City Royals: Noah Cameron (Left, ERA 3.84, 63 SO) | Medium weather impact: 92F, 6 mph wind, 41% precip."
"Tampa Bay Rays","Los Angeles Angels","Tampa Bay Rays","daily_pick","0,3448275862068966","0,65","30,517241379310345","high","medium","sportsbook","Sportsbook odds fallback connected with a positive edge.","Lineup source not connected - confirmed batting orders unavailable. | Injury/news source not connected - late scratches unavailable. | Bullpen availability not connected - reliever fatigue not modeled yet. | Starting pitcher unknown for one or both teams. | Sportsbook odds fallback connected.","Sportsbook odds fallback (the_odds_api) | Tampa Bay Rays lean: StatsAPI data favors Tampa Bay Rays. Inputs: pitcher data incomplete, season records connected, recent form connected, weather connected, venue Angel Stadium. Official bet blocked until real odds are matched. | Tampa Bay Rays: Probable pitcher not posted by MLB StatsAPI. | Los Angeles Angels: Grayson Rodriguez (Right, ERA 8.10, 23 SO) | Low weather impact: 82F, 11 mph wind, 0% precip."
"Arizona Diamondbacks","Cincinnati Reds","Arizona Diamondbacks","buy","0,4424778761061947","0,62","17,752212389380528","high","medium","sportsbook","Sportsbook odds fallback connected with a positive edge.","Lineup source not connected - confirmed batting orders unavailable. | Injury/news source not connected - late scratches unavailable. | Bullpen availability not connected - reliever fatigue not modeled yet. | Sportsbook odds fallback connected.","Sportsbook odds fallback (the_odds_api) | Arizona Diamondbacks lean: StatsAPI data favors Arizona Diamondbacks. Inputs: probable pitchers posted, season records connected, recent form connected, weather connected, venue Great American Ball Park. Official bet blocked until real odds are matched. | Arizona Diamondbacks: Michael Soroka (Right, ERA 3.28, 72 SO) | Cincinnati Reds: Rhett Lowder (Right, ERA 5.01, 31 SO) | Low weather impact: 89F, 7 mph wind, 0% precip."
"Philadelphia Phillies","Milwaukee Brewers","Milwaukee Brewers","buy","0,5867768595041323","0,76","17,322314049586772","high","medium","sportsbook","Sportsbook odds fallback connected with a positive edge.","Lineup source not connected - confirmed batting orders unavailable. | Injury/news source not connected - late scratches unavailable. | Bullpen availability not connected - reliever fatigue not modeled yet. | Weather is partial or missing. | Sportsbook odds fallback connected.","Sportsbook odds fallback (the_odds_api) | Milwaukee Brewers lean: StatsAPI data favors Milwaukee Brewers. Inputs: probable pitchers posted, season records connected, recent form connected, weather partial, venue American Family Field. Official bet blocked until real odds are matched. | Philadelphia Phillies: Aaron Nola (Right, ERA 5.86, 68 SO) | Milwaukee Brewers: Shane Drohan (Left, ERA 3.11, 37 SO) | NOT CONNECTED - venue coordinates needed for weather."
"Miami Marlins","Pittsburgh Pirates","Miami Marlins","buy","0,4672897196261683","0,61","14,271028037383171","high","medium","sportsbook","Sportsbook odds fallback connected with a positive edge.","Lineup source not connected - confirmed batting orders unavailable. | Injury/news source not connected - late scratches unavailable. | Bullpen availability not connected - reliever fatigue not modeled yet. | Starting pitcher unknown for one or both teams. | Sportsbook odds fallback connected.","Sportsbook odds fallback (the_odds_api) | Miami Marlins lean: StatsAPI data favors Miami Marlins. Inputs: pitcher data incomplete, season records connected, recent form connected, weather connected, venue PNC Park. Official bet blocked until real odds are matched. | Miami Marlins: Probable pitcher not posted by MLB StatsAPI. | Pittsburgh Pirates: Bubba Chandler (Right, ERA 4.91, 62 SO) | Low weather impact: 88F, 5 mph wind, 0% precip."
"Chicago Cubs","San Francisco Giants","San Francisco Giants","buy","0,5535714285714286","0,61","5,642857142857139","high","medium","sportsbook","Sportsbook odds fallback connected with a positive edge.","Lineup source not connected - confirmed batting orders unavailable. | Injury/news source not connected - late scratches unavailable. | Bullpen availability not connected - reliever fatigue not modeled yet. | Sportsbook odds fallback connected.","Sportsbook odds fallback (the_odds_api) | San Francisco Giants lean: StatsAPI data favors San Francisco Giants. Inputs: probable pitchers posted, season records connected, recent form connected, weather connected, venue Oracle Park. Official bet blocked until real odds are matched. | Chicago Cubs: Colin Rea (Right, ERA 5.19, 54 SO) | San Francisco Giants: Logan Webb (Right, ERA 3.88, 58 SO) | Low weather impact: 68F, 10 mph wind, 1% precip. | Market mentions other MLB team aliases (Seattle Mariners, Washington Nationals), not this game."
"Colorado Rockies","Athletics","Athletics","buy","0,6666666666666666","0,72","5,333333333333334","high","medium","sportsbook","Sportsbook odds fallback connected with a positive edge.","Lineup source not connected - confirmed batting orders unavailable. | Injury/news source not connected - late scratches unavailable. | Bullpen availability not connected - reliever fatigue not modeled yet. | Weather is partial or missing. | Sportsbook odds fallback connected.","Sportsbook odds fallback (the_odds_api) | Athletics lean: StatsAPI data favors Athletics. Inputs: probable pitchers posted, season records connected, recent form connected, weather partial, venue Las Vegas Ballpark. Official bet blocked until real odds are matched. | Colorado Rockies: Kyle Freeland (Left, ERA 7.81, 45 SO) | Athletics: Jeffrey Springs (Left, ERA 4.68, 63 SO) | NOT CONNECTED - venue coordinates needed for weather. | Market mentions other MLB team aliases (Seattle Mariners, Washington Nationals), not this game."
"Detroit Tigers","Cleveland Guardians","Detroit Tigers","watch","0,5934959349593496","0,64","4,650406504065041","high","medium","sportsbook","Sportsbook odds fallback connected, but the edge is still monitor-only.","Lineup source not connected - confirmed batting orders unavailable. | Injury/news source not connected - late scratches unavailable. | Bullpen availability not connected - reliever fatigue not modeled yet. | Sportsbook odds fallback connected.","Sportsbook odds fallback (the_odds_api) | Detroit Tigers lean: StatsAPI data favors Detroit Tigers. Inputs: probable pitchers posted, season records connected, recent form connected, weather connected, venue Progressive Field. Official bet blocked until real odds are matched. | Detroit Tigers: Tarik Skubal (Left, ERA 2.70, 45 SO) | Cleveland Guardians: Joey Cantillo (Left, ERA 4.57, 63 SO) | Low weather impact: 84F, 7 mph wind, 0% precip. | Market mentions other MLB team aliases (Seattle Mariners, Washington Nationals), not this game."
"St. Louis Cardinals","Minnesota Twins","St. Louis Cardinals","watch","0,6428571428571428","0,64","-0,28571428571427804","high","medium","sportsbook","Sportsbook odds fallback connected, but the edge is not strong enough.","Lineup source not connected - confirmed batting orders unavailable. | Injury/news source not connected - late scratches unavailable. | Bullpen availability not connected - reliever fatigue not modeled yet. | Sportsbook odds fallback connected.","Sportsbook odds fallback (the_odds_api) | St. Louis Cardinals lean: StatsAPI data favors St. Louis Cardinals. Inputs: probable pitchers posted, season records connected, recent form connected, weather connected, venue Target Field. Official bet blocked until real odds are matched. | St. Louis Cardinals: Matthew Liberatore (Left, ERA 4.48, 61 SO) | Minnesota Twins: Connor Prielipp (Left, ERA 5.15, 49 SO) | Low weather impact: 73F, 14 mph wind, 1% precip. | Market mentions other MLB team aliases (Seattle Mariners, Washington Nationals), not this game."
"St. Louis Cardinals","Minnesota Twins","St. Louis Cardinals","watch","0,6428571428571428","0,64","-0,28571428571427804","high","medium","sportsbook","Sportsbook odds fallback connected, but the edge is not strong enough.","Lineup source not connected - confirmed batting orders unavailable. | Injury/news source not connected - late scratches unavailable. | Bullpen availability not connected - reliever fatigue not modeled yet. | Sportsbook odds fallback connected.","Sportsbook odds fallback (the_odds_api) | St. Louis Cardinals lean: StatsAPI data favors St. Louis Cardinals. Inputs: probable pitchers posted, season records connected, recent form connected, weather connected, venue Target Field. Official bet blocked until real odds are matched. | St. Louis Cardinals: Michael McGreevy (Right, ERA 2.99, 49 SO) | Minnesota Twins: Taj Bradley (Right, ERA 4.02, 73 SO) | Low weather impact: 69F, 14 mph wind, 0% precip. | Market mentions other MLB team aliases (Seattle Mariners, Washington Nationals), not this game."
"Colorado Rockies","Athletics","Athletics","watch","0,6666666666666666","0,65","-1,6666666666666607","high","medium","sportsbook","Sportsbook odds fallback connected, but the edge is not strong enough.","Lineup source not connected - confirmed batting orders unavailable. | Injury/news source not connected - late scratches unavailable. | Bullpen availability not connected - reliever fatigue not modeled yet. | Weather is partial or missing. | Sportsbook odds fallback connected.","Sportsbook odds fallback (the_odds_api) | Athletics lean: StatsAPI data favors Athletics. Inputs: probable pitchers posted, season records connected, recent form connected, weather partial, venue Las Vegas Ballpark. Official bet blocked until real odds are matched. | Colorado Rockies: Tomoyuki Sugano (Right, ERA 4.08, 39 SO) | Athletics: J.T. Ginn (Right, ERA 3.15, 65 SO) | NOT CONNECTED - venue coordinates needed for weather. | Market mentions other MLB team aliases (Seattle Mariners, Washington Nationals), not this game."
"Los Angeles Dodgers","Chicago White Sox","Los Angeles Dodgers","watch","0,6774193548387096","0,6","-7,741935483870965","high","medium","sportsbook","Sportsbook odds fallback connected, but the edge is not strong enough.","Lineup source not connected - confirmed batting orders unavailable. | Injury/news source not connected - late scratches unavailable. | Bullpen availability not connected - reliever fatigue not modeled yet. | Weather is partial or missing. | Sportsbook odds fallback connected.","Sportsbook odds fallback (the_odds_api) | Los Angeles Dodgers lean: StatsAPI data favors Los Angeles Dodgers. Inputs: probable pitchers posted, season records connected, recent form connected, weather partial, venue Rate Field. Official bet blocked until real odds are matched. | Los Angeles Dodgers: Yoshinobu Yamamoto (Right, ERA 2.68, 73 SO) | Chicago White Sox: Sean Burke (Right, ERA 3.88, 67 SO) | NOT CONNECTED - venue coordinates needed for weather."
"Tampa Bay Rays","Los Angeles Angels","Los Angeles Angels","watch","0,7142857142857143","0,63","-8,42857142857143","high","medium","sportsbook","Sportsbook odds fallback connected, but the edge is not strong enough.","Lineup source not connected - confirmed batting orders unavailable. | Injury/news source not connected - late scratches unavailable. | Bullpen availability not connected - reliever fatigue not modeled yet. | Sportsbook odds fallback connected.","Sportsbook odds fallback (the_odds_api) | Los Angeles Angels lean: StatsAPI data favors Los Angeles Angels. Inputs: probable pitchers posted, season records connected, recent form connected, weather connected, venue Angel Stadium. Official bet blocked until real odds are matched. | Tampa Bay Rays: Griffin Jax (Right, ERA 4.15, 36 SO) | Los Angeles Angels: José Soriano (Right, ERA 2.96, 87 SO) | Low weather impact: 68F, 4 mph wind, 0% precip."
"Seattle Mariners","Washington Nationals","Washington Nationals","blocked","0,125","0,61","48,5","high","medium","sportsbook","Blocked: MLB market date does not match MLB game date.","Lineup source not connected - confirmed batting orders unavailable. | Injury/news source not connected - late scratches unavailable. | Bullpen availability not connected - reliever fatigue not modeled yet. | Sportsbook odds fallback connected.","Sportsbook odds fallback (the_odds_api) | Washington Nationals lean: StatsAPI data favors Washington Nationals. Inputs: probable pitchers posted, season records connected, recent form connected, weather connected, venue Nationals Park. Official bet blocked until real odds are matched. | Seattle Mariners: Luis Castillo (Right, ERA 5.16, 61 SO) | Washington Nationals: Cade Cavalli (Right, ERA 3.88, 76 SO) | Low weather impact: 91F, 8 mph wind, 0% precip."
"Philadelphia Phillies","Milwaukee Brewers","Milwaukee Brewers","blocked","0,5867768595041323","0,59","0,32231404958676935","high","medium","sportsbook","Blocked: MLB market date does not match MLB game date.","Lineup source not connected - confirmed batting orders unavailable. | Injury/news source not connected - late scratches unavailable. | Bullpen availability not connected - reliever fatigue not modeled yet. | Weather is partial or missing. | Sportsbook odds fallback connected.","Sportsbook odds fallback (the_odds_api) | Milwaukee Brewers lean: StatsAPI data favors Milwaukee Brewers. Inputs: probable pitchers posted, season records connected, recent form connected, weather partial, venue American Family Field. Official bet blocked until real odds are matched. | Philadelphia Phillies: Cristopher Sánchez (Left, ERA 1.54, 113 SO) | Milwaukee Brewers: Kyle Harrison (Left, ERA 2.72, 77 SO) | NOT CONNECTED - venue coordinates needed for weather."
"Arizona Diamondbacks","Cincinnati Reds","Cincinnati Reds","blocked","0,6183206106870228","0,59","-2,832061068702285","high","medium","sportsbook","Blocked: MLB market date does not match MLB game date.","Lineup source not connected - confirmed batting orders unavailable. | Injury/news source not connected - late scratches unavailable. | Bullpen availability not connected - reliever fatigue not modeled yet. | Sportsbook odds fallback connected.","Sportsbook odds fallback (the_odds_api) | Cincinnati Reds lean: StatsAPI data favors Cincinnati Reds. Inputs: probable pitchers posted, season records connected, recent form connected, weather connected, venue Great American Ball Park. Official bet blocked until real odds are matched. | Arizona Diamondbacks: Zac Gallen (Right, ERA 5.43, 46 SO) | Cincinnati Reds: Andrew Abbott (Left, ERA 4.10, 53 SO) | Medium weather impact: 82F, 10 mph wind, 67% precip."
"Seattle Mariners","Washington Nationals","Seattle Mariners","blocked","0,9333333333333333","0,7","-23,33333333333334","high","medium","sportsbook","Blocked: MLB market date does not match MLB game date.","Lineup source not connected - confirmed batting orders unavailable. | Injury/news source not connected - late scratches unavailable. | Bullpen availability not connected - reliever fatigue not modeled yet. | Sportsbook odds fallback connected.","Sportsbook odds fallback (the_odds_api) | Seattle Mariners lean: StatsAPI data favors Seattle Mariners. Inputs: probable pitchers posted, season records connected, recent form connected, weather connected, venue Nationals Park. Official bet blocked until real odds are matched. | Seattle Mariners: Emerson Hancock (Right, ERA 2.74, 73 SO) | Washington Nationals: Miles Mikolas (Right, ERA 5.90, 38 SO) | Low weather impact: 94F, 12 mph wind, 21% precip."
